conda environment activated
/home2/codepk37

Epoch 15: Accuracy=0.6176
Epoch 16: Accuracy=0.6084
Epoch 17: Accuracy=0.6166
Epoch 18: Accuracy=0.6134
Epoch 19: Accuracy=0.6220
Epoch 20: Accuracy=0.6133
Epoch 21: Accuracy=0.6250
Epoch 22: Accuracy=0.6089
Epoch 23: Accuracy=0.6202
Epoch 24: Accuracy=0.6209
Epoch 25: Accuracy=0.6228
Epoch 26: Accuracy=0.6129
Epoch 27: Accuracy=0.6208
Epoch 28: Accuracy=0.6220
Epoch 29: Accuracy=0.6197
Epoch 30: Accuracy=0.6224
Epoch 31: Accuracy=0.6191
Epoch 32: Accuracy=0.6281
Epoch 33: Accuracy=0.6216
Epoch 34: Accuracy=0.6127
Epoch 35: Accuracy=0.6170
Epoch 36: Accuracy=0.6235
Epoch 37: Accuracy=0.6224
Epoch 38: Accuracy=0.6239
Epoch 39: Accuracy=0.6177
Epoch 40: Accuracy=0.6245
Epoch 41: Accuracy=0.6255
Epoch 42: Accuracy=0.6317
Epoch 43: Accuracy=0.6203
Epoch 44: Accuracy=0.6246
Epoch 45: Accuracy=0.6166
Epoch 46: Accuracy=0.6219
Epoch 47: Accuracy=0.6204
Epoch 48: Accuracy=0.6207
Epoch 49: Accuracy=0.6264
Epoch 50: Accuracy=0.6285

Running config: emb_dim=256, depth=6, heads=8, mlp_dim=1024
Epoch 1: Accuracy=0.4870
Epoch 2: Accuracy=0.5512
Epoch 3: Accuracy=0.5831
Epoch 4: Accuracy=0.6165
Epoch 5: Accuracy=0.6244
Epoch 6: Accuracy=0.6302
Epoch 7: Accuracy=0.6231
Epoch 8: Accuracy=0.6258
Epoch 9: Accuracy=0.6284
Epoch 10: Accuracy=0.6314
Epoch 11: Accuracy=0.6282
Epoch 12: Accuracy=0.6242
Epoch 13: Accuracy=0.6273
Epoch 14: Accuracy=0.6254
Epoch 15: Accuracy=0.6155
Epoch 16: Accuracy=0.6300
Epoch 17: Accuracy=0.6223
Epoch 18: Accuracy=0.6275
Epoch 19: Accuracy=0.6216
Epoch 20: Accuracy=0.6235
Epoch 21: Accuracy=0.6270
Epoch 22: Accuracy=0.6270
Epoch 23: Accuracy=0.6301
Epoch 24: Accuracy=0.6276
Epoch 25: Accuracy=0.6272
Epoch 26: Accuracy=0.6224
Epoch 27: Accuracy=0.6259
Epoch 28: Accuracy=0.6236
Epoch 29: Accuracy=0.6263
Epoch 30: Accuracy=0.6360
Epoch 31: Accuracy=0.6328
Epoch 32: Accuracy=0.6389
Epoch 33: Accuracy=0.6308
Epoch 34: Accuracy=0.6326
Epoch 35: Accuracy=0.6213
Epoch 36: Accuracy=0.6304
Epoch 37: Accuracy=0.6328
Epoch 38: Accuracy=0.6322
Epoch 39: Accuracy=0.6303
Epoch 40: Accuracy=0.6298
Epoch 41: Accuracy=0.6382
Epoch 42: Accuracy=0.6318
Epoch 43: Accuracy=0.6338
Epoch 44: Accuracy=0.6323
Epoch 45: Accuracy=0.6279
Epoch 46: Accuracy=0.6307
Epoch 47: Accuracy=0.6289
Epoch 48: Accuracy=0.6353
Epoch 49: Accuracy=0.6402
Epoch 50: Accuracy=0.6314

Running config: emb_dim=256, depth=6, heads=8, mlp_dim=768
Epoch 1: Accuracy=0.4804
Epoch 2: Accuracy=0.5453
Epoch 3: Accuracy=0.5853
Epoch 4: Accuracy=0.6014
Epoch 5: Accuracy=0.6167
Epoch 6: Accuracy=0.6230
Epoch 7: Accuracy=0.6288
Epoch 8: Accuracy=0.6314
Epoch 9: Accuracy=0.6200
Epoch 10: Accuracy=0.6223
Epoch 11: Accuracy=0.6250
Epoch 12: Accuracy=0.6254
Epoch 13: Accuracy=0.6187
Epoch 14: Accuracy=0.6225
Epoch 15: Accuracy=0.6251
Epoch 16: Accuracy=0.6251
Epoch 17: Accuracy=0.6311
Epoch 18: Accuracy=0.6253
Epoch 19: Accuracy=0.6260
Epoch 20: Accuracy=0.6309
Epoch 21: Accuracy=0.6308
Epoch 22: Accuracy=0.6237
Epoch 23: Accuracy=0.6300
Epoch 24: Accuracy=0.6248
Epoch 25: Accuracy=0.6279
Epoch 26: Accuracy=0.6250
Epoch 27: Accuracy=0.6286
Epoch 28: Accuracy=0.6309
Epoch 29: Accuracy=0.6269
Epoch 30: Accuracy=0.6288
Epoch 31: Accuracy=0.6351
Epoch 32: Accuracy=0.6278
Epoch 33: Accuracy=0.6270
Epoch 34: Accuracy=0.6219
Epoch 35: Accuracy=0.6221
Epoch 36: Accuracy=0.6282
Epoch 37: Accuracy=0.6338
Epoch 38: Accuracy=0.6383
Epoch 39: Accuracy=0.6317
Epoch 40: Accuracy=0.6346
Epoch 41: Accuracy=0.6294
Epoch 42: Accuracy=0.6280
Epoch 43: Accuracy=0.6322
Epoch 44: Accuracy=0.6277
Epoch 45: Accuracy=0.6270
Epoch 46: Accuracy=0.6273
Epoch 47: Accuracy=0.6245
Epoch 48: Accuracy=0.6290
Epoch 49: Accuracy=0.6236
Epoch 50: Accuracy=0.6345

Running config: emb_dim=192, depth=4, heads=4, mlp_dim=1024
Epoch 1: Accuracy=0.4622
Epoch 2: Accuracy=0.5158
Epoch 3: Accuracy=0.5465
Epoch 4: Accuracy=0.5557
Epoch 5: Accuracy=0.5751
Epoch 6: Accuracy=0.5982
Epoch 7: Accuracy=0.6084
Epoch 8: Accuracy=0.6067
Epoch 9: Accuracy=0.6206
Epoch 10: Accuracy=0.6257
Epoch 11: Accuracy=0.6277
Epoch 12: Accuracy=0.6226
Epoch 13: Accuracy=0.6166
Epoch 14: Accuracy=0.6199
Epoch 15: Accuracy=0.6169
Epoch 16: Accuracy=0.6131
Epoch 17: Accuracy=0.6150
Epoch 18: Accuracy=0.6234
Epoch 19: Accuracy=0.6168
Epoch 20: Accuracy=0.6186
Epoch 21: Accuracy=0.6209
Epoch 22: Accuracy=0.6164
Epoch 23: Accuracy=0.6173
Epoch 24: Accuracy=0.6118
Epoch 25: Accuracy=0.6133
Epoch 26: Accuracy=0.6125
Epoch 27: Accuracy=0.6226
Epoch 28: Accuracy=0.6201
Epoch 29: Accuracy=0.6239
Epoch 30: Accuracy=0.6145
Epoch 31: Accuracy=0.6103
Epoch 32: Accuracy=0.6188
Epoch 33: Accuracy=0.6164
Epoch 34: Accuracy=0.6124
Epoch 35: Accuracy=0.6151
Epoch 36: Accuracy=0.6214
Epoch 37: Accuracy=0.6207
Epoch 38: Accuracy=0.6124
Epoch 39: Accuracy=0.6133
Epoch 40: Accuracy=0.6166
Epoch 41: Accuracy=0.6218
Epoch 42: Accuracy=0.6225
Epoch 43: Accuracy=0.6173
Epoch 44: Accuracy=0.6227
Epoch 45: Accuracy=0.6181
Epoch 46: Accuracy=0.6148
Epoch 47: Accuracy=0.6225
Epoch 48: Accuracy=0.6207
Epoch 49: Accuracy=0.6212
Epoch 50: Accuracy=0.6130

Running config: emb_dim=192, depth=4, heads=4, mlp_dim=768
Epoch 1: Accuracy=0.4674
Epoch 2: Accuracy=0.5220
Epoch 3: Accuracy=0.5306
Epoch 4: Accuracy=0.5695
Epoch 5: Accuracy=0.5857
Epoch 6: Accuracy=0.5975
Epoch 7: Accuracy=0.6028
Epoch 8: Accuracy=0.6111
Epoch 9: Accuracy=0.6059
Epoch 10: Accuracy=0.6207
Epoch 11: Accuracy=0.6107
